Crime category,Severity,Description,Location
Other,Low,"Late at night, a verbal altercation occurred, but no one was physically harmed.",Mall of the Emirates
Human Trafficking,High,"Outside a busy mall, the victims were sold into slavery after being trafficked.",Burj Khalifa
Burglary,Low,"In the middle of the street, the thief ransacked the house and fled with stolen goods.",Al Mamzar Beach
Theft,Medium,"During a quiet evening, the thief snuck into a parked car and stole personal belongings.",Dragon Mart
Human Trafficking,High,"In a deserted alley, the suspect was involved in moving individuals across borders for exploitation.",Business Bay
Rape,High,"In a crowded market, the suspect brutally assaulted the victim in a dark alley.",Al Mamzar Beach
Theft,Medium,"In the middle of the street, the suspect broke into a vehicle and took valuable items.",Palm Jumeirah
Other,Low,"Outside a busy mall, the suspect disrupted an event, causing a public disturbance.",Jumeirah Village Circle
Drugs,Medium,"In a crowded market, the authorities seized a stash of drugs hidden in the suspect's car.",Al Mamzar Beach
Aggravated Assault,High,"At the break of dawn, a punch to the face knocked the victim unconscious.",Dragon Mart
Robbery,Medium,"During a quiet evening, the suspect used a weapon to intimidate and steal from the victim.",Dubai Creek Harbour
Human Trafficking,High,"In the middle of the street, the victims were rescued from a hidden trafficking operation.",La Mer Beach
Abduction,High,"At the break of dawn, a child was taken from their home while the parents were away.",Al Qusais
Human Trafficking,High,"Outside a busy mall, the victims were rescued from a hidden trafficking operation.",Al Maktoum International Airport
Willful Murder,High,"In broad daylight, the victim was left bleeding after being stabbed repeatedly by the suspect.",Al Qusais
Theft,Medium,"In the middle of the street, a shoplifting incident occurred at a high-end store.",Dragon Mart
Theft,Medium,"During a quiet evening, the thief snuck into a parked car and stole personal belongings.",Global Village
Drugs,Medium,"In the middle of the street, a drug operation was shut down, and the suspect was arrested.",Jebel Ali
Robbery,Medium,"Late at night, the suspect used a weapon to intimidate and steal from the victim.",Emirates Hills
Human Trafficking,High,"In broad daylight, the traffickers held their victims in inhumane conditions.",Deira
Theft,Medium,"Late at night, a bike was stolen from outside a cafe in broad daylight.",Jebel Ali
Abduction,High,"Late at night, the victim was kidnapped while walking alone at night.",Al Quoz
Willful Murder,High,"Near a public park, the suspect violently attacked the victim, leading to death.",Al Fahidi Historical District
Robbery,Medium,"Late at night, the suspect robbed a passerby, taking their wallet.",Mall of the Emirates
Robbery,Medium,"Outside a busy mall, the victim was attacked and their belongings were stolen.",Deira
Abduction,High,"At the break of dawn, the victim was kidnapped while walking alone at night.",La Mer Beach
Burglary,Low,"In a crowded market, the suspect carried out a burglary while the owners were on vacation.",Jumeirah Village Circle
Robbery,Medium,"At the break of dawn, the suspect stormed into the store, demanding cash at gunpoint.",Al Maktoum International Airport
Willful Murder,High,"In a deserted alley, the victim was killed with a sharp weapon in a fit of anger.",Dubai Silicon Oasis
Aggravated Assault,High,"At the break of dawn, a violent altercation left the victim unconscious on the ground.",Al Qusais
Human Trafficking,High,"At the break of dawn, a raid revealed several individuals held captive for trafficking.",Al Khawaneej
Abduction,High,"In the middle of the street, the victim was dragged into a car and disappeared.",Dubai Mall
Human Trafficking,High,"In the middle of the street, a large-scale trafficking operation was dismantled by authorities.",La Mer Beach
Human Trafficking,High,"In the middle of the street, the victim was kidnapped and trafficked across international borders.",Dubai Marina
Theft,Medium,"Near a public park, a purse was snatched from the victim while they walked.",Emirates Hills
Abduction,High,"At the break of dawn, an abduction plot was carried out in a busy marketplace.",Al Fahidi Historical District
Willful Murder,High,"In broad daylight, a gunshot to the head killed the victim instantly.",Deira
Abduction,High,"Late at night, a child was abducted from a playground by a stranger.",Al Barsha
Drugs,Medium,"In the middle of the street, the suspect was involved in drug distribution at a nightclub.",City Walk
Abduction,High,"Near a public park, a child was taken from their home while the parents were away.",Al Barsha
Rape,High,"At the break of dawn, the victim was forcefully assaulted in a parking lot.",Mall of the Emirates
Rape,High,"In broad daylight, the victim was forcefully attacked in their apartment.",Emirates Hills
Theft,Medium,"In a deserted alley, the suspect broke into a vehicle and took valuable items.",Al Satwa
Drugs,Medium,"In the middle of the street, the suspect was arrested during a drug deal in a busy area.",Palm Jumeirah
Robbery,Medium,"During a quiet evening, the suspect used a weapon to intimidate and steal from the victim.",Palm Jumeirah
Willful Murder,High,"In broad daylight, an argument ended with the victim being strangled to death.",Al Khawaneej
Abduction,High,"In a crowded market, the victim was taken at gunpoint by the suspect.",Burj Khalifa
Other,Low,"Near a public park, the suspect destroyed the victim's car as an act of revenge.",Al Fahidi Historical District
Drugs,Medium,"In broad daylight, the police raided the suspect's apartment and found narcotics.",Emirates Hills
Burglary,Low,"In a deserted alley, the burglar broke into the house and stole valuable electronics and jewelry.",Palm Jumeirah
Theft,Medium,"At the break of dawn, a bike was stolen from outside a cafe in broad daylight.",Al Quoz
Willful Murder,High,"Late at night, the victim was shot at close range during a gang dispute.",Al Maktoum International Airport
Willful Murder,High,"Late at night, an argument ended with the victim being strangled to death.",Al Maktoum International Airport
Theft,Medium,"Late at night, a purse was snatched from the victim while they walked.",Dubai Silicon Oasis
Theft,Medium,"In a deserted alley, the victim's backpack was stolen while they were distracted.",Dubai Mall
Willful Murder,High,"Late at night, the victim was shot at close range during a gang dispute.",Dubai Creek Harbour
Drugs,Medium,"In a deserted alley, the police raided the suspect's apartment and found narcotics.",Dragon Mart
Theft,Medium,"Outside a busy mall, a thief grabbed a laptop from a coffee shop and ran.",Emirates Hills
Drugs,Medium,"In a crowded market, the authorities seized a stash of drugs hidden in the suspect's car.",Al Quoz
Aggravated Assault,High,"During a quiet evening, a punch to the face knocked the victim unconscious.",Al Barsha
Abduction,High,"Outside a busy mall, the victim was kidnapped while walking alone at night.",Al Satwa
Burglary,Low,"At the break of dawn, a burglary took place in a suburban neighborhood, with expensive items stolen.",City Walk
Abduction,High,"Outside a busy mall, an abduction occurred in broad daylight in front of witnesses.",Mall of the Emirates
Drugs,Medium,"In a crowded market, a drug bust uncovered bags of heroin and cocaine.",Dubai Silicon Oasis
Robbery,Medium,"In a deserted alley, a thief broke into a home, stealing valuables and fleeing.",Deira
Drugs,Medium,"In a deserted alley, the police confiscated several bags of illegal substances from the suspect.",Al Satwa
Rape,High,"In the middle of the street, the suspect overpowered the victim and committed a heinous crime.",Mall of the Emirates
Drugs,Medium,"During a quiet evening, the authorities seized a stash of drugs hidden in the suspect's car.",Al Qusais
Other,Low,"Late at night, a suspect was involved in a petty dispute at a market.",Jumeirah Village Circle
Burglary,Low,"In the middle of the street, the thief sneaked into the home and took several gadgets.",Jebel Ali
Other,Low,"In a deserted alley, the suspect vandalized public property, causing significant damage.",Al Fahidi Historical District
Willful Murder,High,"In the middle of the street, the victim was left bleeding after being stabbed repeatedly by the suspect.",Al Satwa
Rape,High,"Near a public park, the victim was forcefully assaulted in a parking lot.",Deira
Robbery,Medium,"Near a public park, the suspect broke into a business and emptied the safe.",Palm Jumeirah
Abduction,High,"At the break of dawn, the victim was dragged into a car and disappeared.",Al Fahidi Historical District
Other,Low,"In broad daylight, a minor disturbance broke out at a local festival.",Al Mamzar Beach
Drugs,Medium,"Near a public park, the police found the suspect with narcotics ready for sale.",La Mer Beach
Other,Low,"In the middle of the street, the suspect destroyed the victim's car as an act of revenge.",Palm Jumeirah
Other,Low,"During a quiet evening, the victim's property was damaged in an act of vandalism.",Jebel Ali
Robbery,Medium,"In the middle of the street, the suspect broke into a business and emptied the safe.",Dubai Creek Harbour
Burglary,Low,"Late at night, the victim reported missing jewelry after a break-in.",Business Bay
Aggravated Assault,High,"Late at night, the attacker left the victim in critical condition after a violent beating.",Burj Khalifa
Other,Low,"In the middle of the street, the suspect vandalized public property, causing significant damage.",Mall of the Emirates
Rape,High,"During a quiet evening, the victim was targeted and assaulted by the suspect.",Business Bay
Rape,High,"In broad daylight, the victim was attacked and violated by the suspect in a secluded area.",Business Bay
Human Trafficking,High,"At the break of dawn, the traffickers held their victims in inhumane conditions.",Mall of the Emirates
Willful Murder,High,"At the break of dawn, the killer ambushed the victim and stabbed them fatally.",Dubai Marina
Human Trafficking,High,"Outside a busy mall, the victims were rescued from a hidden trafficking operation.",Downtown Dubai
Theft,Medium,"In a crowded market, the suspect stole a mobile phone from the victim's bag.",Palm Jumeirah
Rape,High,"In a crowded market, the victim was forcefully assaulted in a parking lot.",Al Quoz
Abduction,High,"At the break of dawn, the victim was dragged into a car and disappeared.",Al Satwa
Other,Low,"In the middle of the street, a verbal altercation occurred, but no one was physically harmed.",Downtown Dubai
Theft,Medium,"Near a public park, a bike was stolen from outside a cafe in broad daylight.",Al Fahidi Historical District
Theft,Medium,"In a deserted alley, the thief snuck into a parked car and stole personal belongings.",Al Mamzar Beach
Human Trafficking,High,"At the break of dawn, the traffickers were arrested after victims were found in a basement.",Al Qusais
Abduction,High,"In a deserted alley, the victim was forced into a van and held against their will.",Al Maktoum International Airport
Willful Murder,High,"At the break of dawn, the suspect shot the victim multiple times, leaving them dead at the scene.",Downtown Dubai
Other,Low,"At the break of dawn, the suspect disrupted an event, causing a public disturbance.",Emirates Hills
Robbery,Medium,"During a quiet evening, the thief targeted a pedestrian, robbing them on the street.",Dubai Creek Harbour
Theft,Medium,"At the break of dawn, the suspect stole electronics from a shop and fled the scene.",Dubai Silicon Oasis
Human Trafficking,High,"In a deserted alley, the suspect was caught smuggling individuals for forced labor.",Burj Khalifa
Human Trafficking,High,"In the middle of the street, the victims were rescued from a hidden trafficking operation.",City Walk
Abduction,High,"Outside a busy mall, an abduction plot was carried out in a busy marketplace.",Dubai Silicon Oasis
Burglary,Low,"Near a public park, a break-in occurred while the owners were out, and cash was stolen.",Dubai Marina
Rape,High,"Late at night, a brutal assault left the victim emotionally and physically scarred.",Al Khawaneej
Rape,High,"Near a public park, the victim was targeted and assaulted by the suspect.",Deira
Rape,High,"Outside a busy mall, a brutal assault left the victim emotionally and physically scarred.",Al Mamzar Beach
Aggravated Assault,High,"Late at night, the attacker left the victim in critical condition after a violent beating.",Dragon Mart
Willful Murder,High,"In broad daylight, an argument ended with the victim being strangled to death.",City Walk
Human Trafficking,High,"In broad daylight, the suspect was involved in moving individuals across borders for exploitation.",Al Quoz
Aggravated Assault,High,"Late at night, a violent altercation left the victim unconscious on the ground.",Al Khawaneej
Burglary,Low,"In a deserted alley, the victim reported missing jewelry after a break-in.",Al Mamzar Beach
Theft,Medium,"In a crowded market, the suspect stole a mobile phone from the victim's bag.",Emirates Hills
Robbery,Medium,"In broad daylight, a thief broke into a home, stealing valuables and fleeing.",Al Fahidi Historical District
Rape,High,"Near a public park, the victim was targeted and assaulted by the suspect.",Global Village
Rape,High,"During a quiet evening, the suspect overpowered the victim and committed a heinous crime.",Palm Jumeirah
Robbery,Medium,"In the middle of the street, a robbery took place at a convenience store, with cash stolen.",Al Khawaneej
Drugs,Medium,"Near a public park, the police raided the suspect's apartment and found narcotics.",Al Quoz
Burglary,Low,"At the break of dawn, the victim’s house was broken into, and various items were taken.",Emirates Hills
Rape,High,"At the break of dawn, the suspect brutally assaulted the victim in a dark alley.",Jumeirah Beach
Drugs,Medium,"In the middle of the street, the police found the suspect with narcotics ready for sale.",Dubai Marina
Burglary,Low,"During a quiet evening, a break-in occurred while the owners were out, and cash was stolen.",Dubai Creek Harbour
Aggravated Assault,High,"At the break of dawn, the attacker left the victim in critical condition after a violent beating.",Downtown Dubai
Other,Low,"Outside a busy mall, a public nuisance was caused by the suspect during a protest.",Jumeirah Village Circle
Willful Murder,High,"Near a public park, the suspect shot the victim multiple times, leaving them dead at the scene.",Deira
Robbery,Medium,"Near a public park, the suspect used a weapon to intimidate and steal from the victim.",Dragon Mart
Abduction,High,"At the break of dawn, the victim was taken at gunpoint by the suspect.",Dubai Creek Harbour
Drugs,Medium,"In a deserted alley, the police found the suspect with narcotics ready for sale.",Al Khawaneej
Robbery,Medium,"In a crowded market, a robbery took place at a convenience store, with cash stolen.",Al Satwa
Rape,High,"In a crowded market, the victim was sexually assaulted while walking home.",Dubai Creek Harbour
Other,Low,"During a quiet evening, the suspect destroyed the victim's car as an act of revenge.",Dubai Creek Harbour
Theft,Medium,"Near a public park, a bike was stolen from outside a cafe in broad daylight.",Jumeirah Beach
Abduction,High,"In a deserted alley, a child was taken from their home while the parents were away.",City Walk
Rape,High,"Near a public park, the victim was forcefully attacked in their apartment.",City Walk
Aggravated Assault,High,"Near a public park, the victim was attacked with a blunt object, suffering severe trauma.",Al Fahidi Historical District
Aggravated Assault,High,"Outside a busy mall, the victim was beaten with a metal rod, suffering severe injuries.",Al Qusais
Aggravated Assault,High,"Outside a busy mall, the victim was severely injured after being struck with a crowbar.",Mall of the Emirates
Robbery,Medium,"Late at night, the suspect stormed into the store, demanding cash at gunpoint.",Dubai Marina
Aggravated Assault,High,"Outside a busy mall, the victim was severely injured after being struck with a crowbar.",Jumeirah Village Circle
Theft,Medium,"In a deserted alley, a bike was stolen from outside a cafe in broad daylight.",Global Village
Abduction,High,"During a quiet evening, a child was abducted from a playground by a stranger.",Al Mamzar Beach
Burglary,Low,"In broad daylight, the thief ransacked the house and fled with stolen goods.",Al Maktoum International Airport
Drugs,Medium,"In the middle of the street, the police raided the suspect's apartment and found narcotics.",Global Village
Other,Low,"In broad daylight, a suspect was involved in a petty dispute at a market.",Al Maktoum International Airport
Willful Murder,High,"Near a public park, the suspect violently attacked the victim, leading to death.",Emirates Hills
Rape,High,"During a quiet evening, the attacker cornered the victim and committed a violent act.",Jumeirah Beach
Abduction,High,"Near a public park, a child was taken from their home while the parents were away.",Al Mamzar Beach
Robbery,Medium,"Outside a busy mall, a robbery took place at a convenience store, with cash stolen.",City Walk
Robbery,Medium,"In broad daylight, the victim was attacked and their belongings were stolen.",Jumeirah Beach
Rape,High,"Outside a busy mall, the victim was forcefully assaulted in a parking lot.",Dubai Creek Harbour
Burglary,Low,"In a crowded market, the burglar broke into the house and stole valuable electronics and jewelry.",Dubai Creek Harbour
Theft,Medium,"Late at night, a bike was stolen from outside a cafe in broad daylight.",Jumeirah Village Circle
Burglary,Low,"In a deserted alley, a break-in occurred while the owners were out, and cash was stolen.",City Walk
Rape,High,"During a quiet evening, the attacker cornered the victim and committed a violent act.",Al Fahidi Historical District
Rape,High,"In the middle of the street, the victim was forcefully attacked in their apartment.",Business Bay
Drugs,Medium,"At the break of dawn, the police raided the suspect's apartment and found narcotics.",Deira
Willful Murder,High,"Outside a busy mall, an argument ended with the victim being strangled to death.",Jumeirah Beach
Abduction,High,"In the middle of the street, an abduction plot was carried out in a busy marketplace.",Jebel Ali
Abduction,High,"In the middle of the street, the suspect kidnapped the victim from a public park.",City Walk
Other,Low,"Near a public park, the suspect vandalized public property, causing significant damage.",Jumeirah Beach
Willful Murder,High,"Late at night, the victim was killed with a sharp weapon in a fit of anger.",Jumeirah Beach
Burglary,Low,"During a quiet evening, a break-in occurred while the owners were out, and cash was stolen.",Dragon Mart
Willful Murder,High,"In a deserted alley, the victim was shot at close range during a gang dispute.",Al Satwa
Willful Murder,High,"At the break of dawn, the victim was left bleeding after being stabbed repeatedly by the suspect.",Al Satwa
Rape,High,"In the middle of the street, the victim was forcefully assaulted in a parking lot.",Al Mamzar Beach
Abduction,High,"Outside a busy mall, the victim was dragged into a car and disappeared.",City Walk
Willful Murder,High,"Late at night, the suspect used a knife to fatally wound the victim in a rage.",Al Quoz
Rape,High,"In a crowded market, the suspect brutally assaulted the victim in a dark alley.",Al Fahidi Historical District
Theft,Medium,"During a quiet evening, a shoplifting incident occurred at a high-end store.",Jumeirah Beach
Willful Murder,High,"In a crowded market, the killer planned the murder and executed the victim with precision.",Jebel Ali
Abduction,High,"In a crowded market, an abduction occurred in broad daylight in front of witnesses.",Dragon Mart
Rape,High,"Outside a busy mall, the victim was forcefully attacked in their apartment.",Al Mamzar Beach
Willful Murder,High,"In a crowded market, an argument ended with the victim being strangled to death.",Business Bay
Abduction,High,"In a deserted alley, the suspect forced the victim into a vehicle and drove away.",Dubai Creek Harbour
Abduction,High,"In a deserted alley, the victim was forced into a van and held against their will.",Jumeirah Beach
Theft,Medium,"At the break of dawn, the suspect stole electronics from a shop and fled the scene.",Dragon Mart
Human Trafficking,High,"In a crowded market, a raid revealed several individuals held captive for trafficking.",Jumeirah Village Circle
Aggravated Assault,High,"In broad daylight, the attacker left the victim in critical condition after a violent beating.",Mall of the Emirates
Drugs,Medium,"Outside a busy mall, the police confiscated several bags of illegal substances from the suspect.",Al Khawaneej
Aggravated Assault,High,"In a deserted alley, a punch to the face knocked the victim unconscious.",Palm Jumeirah
Rape,High,"Near a public park, the suspect overpowered the victim and committed a heinous crime.",Emirates Hills
Rape,High,"In the middle of the street, a brutal assault left the victim emotionally and physically scarred.",Dubai Silicon Oasis
Other,Low,"In a deserted alley, a minor disturbance broke out at a local festival.",Downtown Dubai
Willful Murder,High,"Near a public park, the suspect violently attacked the victim, leading to death.",City Walk
Other,Low,"In broad daylight, a suspect was involved in a petty dispute at a market.",Mall of the Emirates
Other,Low,"Outside a busy mall, a verbal argument escalated, but no physical altercation occurred.",Al Qusais
Abduction,High,"Near a public park, the victim was taken at gunpoint by the suspect.",Al Maktoum International Airport
Robbery,Medium,"In broad daylight, a thief broke into a home, stealing valuables and fleeing.",Al Qusais
Abduction,High,"Late at night, an abduction plot was carried out in a busy marketplace.",Al Satwa
Theft,Medium,"Outside a busy mall, a bike was stolen from outside a cafe in broad daylight.",Deira
Abduction,High,"In the middle of the street, a child was taken from their home while the parents were away.",Al Quoz
Human Trafficking,High,"Outside a busy mall, the suspect was involved in moving individuals across borders for exploitation.",La Mer Beach
Human Trafficking,High,"Outside a busy mall, a large-scale trafficking operation was dismantled by authorities.",Al Quoz
Willful Murder,High,"In a crowded market, the suspect used a knife to fatally wound the victim in a rage.",Downtown Dubai
Abduction,High,"In a crowded market, the victim was dragged into a car and disappeared.",Deira
Burglary,Low,"Late at night, the thief ransacked the house and fled with stolen goods.",Dubai Marina
Burglary,Low,"Late at night, the suspect shattered a window and took personal belongings.",Al Barsha
Burglary,Low,"During a quiet evening, the thief ransacked the house and fled with stolen goods.",Jumeirah Beach
Drugs,Medium,"In the middle of the street, the suspect was caught selling illegal substances on a street corner.",Jebel Ali
